station_id,name,state,lat,lon,elevation_m
KABR,Aberdeen,SD,45.4558,-98.4132,396
KABX,Albuquerque,NM,35.1497,-106.8239,1789
KAKQ,Norfolk/Wakefield,VA,36.9839,-77.0072,34
KAMA,Amarillo,TX,35.2333,-101.7092,1093
KAMX,Miami,FL,25.6111,-80.4128,4
KAPX,Gaylord,MI,44.9072,-84.7197,446
KARX,La Crosse,WI,43.8228,-91.1912,389
KATX,Seattle,WA,48.1946,-122.4957,153
KBBX,Beale AFB,CA,39.4957,-121.6317,52
KBGM,Binghamton,NY,42.1997,-75.9847,490
KBHX,Eureka,CA,40.4987,-124.2922,732
KBIS,Bismarck,ND,46.7708,-100.7603,505
KBLX,Billings,MT,45.8538,-108.6068,1097
KBMX,Birmingham,AL,33.1722,-86.7697,197
KBOX,Boston,MA,41.9558,-71.1372,38
KBRO,Brownsville,TX,25.9156,-97.4189,7
KBUF,Buffalo,NY,42.9489,-78.7369,211
KBYX,Key West,FL,24.5975,-81.7031,4
KCAE,Columbia,SC,33.9486,-81.1183,70
KCBW,Caribou,ME,46.0392,-67.8069,227
KCBX,Boise,ID,43.4911,-116.2358,934
KCCX,State College,PA,40.9228,-78.0039,733
KCLE,Cleveland,OH,41.4131,-81.8597,233
KCLX,Charleston,SC,32.6556,-81.0422,30
KCRP,Corpus Christi,TX,27.7842,-97.5111,14
KCXX,Burlington,VT,44.5111,-73.1661,97
KCYS,Cheyenne,WY,41.1519,-104.8061,1869
KDAX,Sacramento,CA,38.5011,-121.6778,9
KDDC,Dodge City,KS,37.7208,-99.9689,790
KDFX,Laughlin AFB,TX,29.2731,-100.2803,334
KDGX,Jackson,MS,32.2800,-89.9844,175
KDIX,Philadelphia,PA,39.9469,-74.4108,45
KDLH,Duluth,MN,46.8369,-92.2097,439
KDMX,Des Moines,IA,41.7311,-93.7228,299
KDOX,Dover AFB,DE,38.8258,-75.4400,15
KDTX,Detroit,MI,42.6997,-83.4717,327
KDVN,Davenport,IA,41.6117,-90.5808,230
KDYX,Dyess AFB,TX,32.5383,-99.2544,546
KEAX,Kansas City,MO,38.8103,-94.2644,303
KEMX,Tucson,AZ,31.8933,-110.6303,1586
KENX,Albany,NY,42.5864,-74.0639,556
KEOX,Fort Rucker,AL,31.4603,-85.4594,132
KEPZ,El Paso,TX,31.8731,-106.6978,1251
KESX,Las Vegas,NV,35.7011,-114.8908,1481
KEVX,Eglin AFB,FL,30.5644,-85.9214,49
KEWX,Austin/San Antonio,TX,29.7039,-98.0283,193
KEYX,Edwards AFB,CA,35.0978,-117.5608,840
KFCX,Roanoke,VA,37.0242,-80.2742,874
KFDR,Altus AFB,OK,34.3622,-98.9764,396
KFDX,Cannon AFB,NM,34.6344,-103.6294,1417
KFFC,Atlanta,GA,33.3633,-84.5658,262
KFSD,Sioux Falls,SD,43.5878,-96.7294,435
KFSX,Flagstaff,AZ,34.5744,-111.1983,2261
KFTG,Denver,CO,39.7867,-104.5458,1675
KFWS,Dallas/Fort Worth,TX,32.5728,-97.3028,208
KGGW,Glasgow,MT,48.2064,-106.6253,697
KGJX,Grand Junction,CO,39.0622,-108.2139,3054
KGLD,Goodland,KS,39.3669,-101.7003,1113
