station_id,tz
KABR,America/Chicago
KABX,America/Denver
KAKQ,America/New_York
KAMA,America/Chicago
KAMX,America/New_York
KAPX,America/Detroit
KARX,America/Chicago
KATX,America/Los_Angeles
KBBX,America/Los_Angeles
KBGM,America/New_York
KBHX,America/Los_Angeles
KBIS,America/Chicago
KBLX,America/Denver
KBMX,America/Chicago
KBOX,America/New_York
KBRO,America/Chicago
KBUF,America/New_York
KBYX,America/New_York
KCAE,America/New_York
KCBW,America/New_York
KCBX,America/Boise
KCCX,America/New_York
KCLE,America/New_York
KCLX,America/New_York
KCRP,America/Chicago
KCXX,America/New_York
KCYS,America/Denver
KDAX,America/Los_Angeles
KDDC,America/Chicago
KDFX,America/Chicago
KDGX,America/Chicago
KDIX,America/New_York
KDLH,America/Chicago
KDMX,America/Chicago
KDOX,America/New_York
KDTX,America/Detroit
KDVN,America/Chicago
KDYX,America/Chicago
KEAX,America/Chicago
KEMX,America/Phoenix
KENX,America/New_York
KEOX,America/Chicago
KEPZ,America/Denver
KESX,America/Los_Angeles
KEVX,America/Chicago
KEWX,America/Chicago
KEYX,America/Los_Angeles
KFCX,America/New_York
KFDR,America/Chicago
KFDX,America/Denver
KFFC,America/New_York
KFSD,America/Chicago
KFSX,America/Phoenix
KFTG,America/Denver
KFWS,America/Chicago
KGGW,America/Denver
KGJX,America/Denver
KGLD,America/Denver
KGRB,America/Chicago
KGRK,America/Chicago
KGRR,America/Detroit
KGSP,America/New_York
KGWX,America/Chicago
KGYX,America/New_York
KHDX,America/Denver
KHGX,America/Chicago
KHJX,America/New_York
KHNX,America/Los_Angeles
KHPX,America/Chicago
KHTX,America/Chicago
KICT,America/Chicago
KICX,America/Denver
KILN,America/New_York
KILX,America/Chicago
KIND,America/Indiana/Indianapolis
KINX,America/Chicago
KIWA,America/Phoenix
KIWX,America/Indiana/Indianapolis
KJAX,America/New_York
KJGX,America/New_York
KJKL,America/New_York
KLBB,America/Chicago
KLCH,America/Chicago
KLIX,America/Chicago
KLNX,America/Chicago
KLOT,America/Chicago
KLRX,America/Los_Angeles
KLSX,America/Chicago
KLTX,America/New_York
KLVX,America/New_York
KLWX,America/New_York
KLZK,America/Chicago
KMAF,America/Chicago
KMAX,America/Los_Angeles
KMBX,America/Chicago
KMHX,America/New_York
KMKX,America/Chicago
KMLB,America/New_York
KMOB,America/Chicago
KMPX,America/Chicago
KMQT,America/Detroit
KMRX,America/New_York
KMSX,America/Denver
KMTX,America/Denver
KMUX,America/Los_Angeles
KMVX,America/Chicago
KMXX,America/Chicago
KNKX,America/Los_Angeles
KNQA,America/Chicago
KOAX,America/Chicago
KOHX,America/Chicago
KOKX,America/New_York
KOTX,America/Los_Angeles
KPAH,America/Chicago
KPBZ,America/New_York
KPDT,America/Los_Angeles
KPOE,America/Chicago
KPUX,America/Denver
KRAX,America/New_York
KRGX,America/Los_Angeles
KRIW,America/Denver
KRLX,America/New_York
KRTX,America/Los_Angeles
KSFX,America/Boise
KSGF,America/Chicago
KSHV,America/Chicago
KSJT,America/Chicago
KSOX,America/Los_Angeles
KSRX,America/Chicago
KTBW,America/New_York
KTFX,America/Denver
KTLH,America/New_York
KTLX,America/Chicago
KTWX,America/Chicago
KTYX,America/New_York
KUDX,America/Denver
KUEX,America/Chicago
KVAX,America/New_York
KVBX,America/Los_Angeles
KVNX,America/Chicago
KVTX,America/Los_Angeles
KVWX,America/Chicago
KYUX,America/Phoenix
PABC,America/Anchorage
PACG,America/Sitka
PAEC,America/Nome
PAHG,America/Anchorage
PAIH,America/Anchorage
PAKC,America/Anchorage
PAPD,America/Anchorage
PHKI,Pacific/Honolulu
PHKM,Pacific/Honolulu
PHMO,Pacific/Honolulu
PHWA,Pacific/Honolulu
TJUA,America/Puerto_Rico
